Field,Source,Notes
CONTACT_ID,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
PATROL_STATION,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
DATE_TIME,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
NUMBER_OF_MINUTES,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
STREET_NUMBER,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
DIRECTION,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
STREET,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
TYPE,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
SUITE,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
CROSS_STREET,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
LANDMARK,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
FULL_STREET,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
CITY,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
STATE,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
ZIP_CODE,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
K_12_SCHOOL,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,"From LASD Incident Details file, but ProPublica's analysis found this field to be unreliable"
SCHOOL_NAME,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,"From LASD Incident Details file, but ProPublica's analysis found this field to be unreliable"
CALL_FOR_SERVICE,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
CIVILIANS_CONTACTED,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Incident-Details/mwug-nk2r,From LASD Incident Details file
Person ID,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Street #,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Street Direction,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Street Name,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Street Type,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Suite,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Cross Street,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Landmark,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Full Address,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
City,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
State,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Zip Code,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Age?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
K12 Student?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Limited or No English Fluency?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Perception Made,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Homeless?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Gender,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Race,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Disability,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reason for Contact,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reason for Contact Narrative,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Traffic Violation Type,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Traffic Violation Offense Code,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reasonable Suspicion that the Officer Witnessed Commission of a Crime?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reasonable Suspicion that the Person Matched Suspect Description?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reasonable Suspicion that the Person was a Witness or Victim ID of Suspect at the Scene?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reasonable Suspicion that the Person may be Carrying Suspicious Object?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reasonable Suspicion that the Person's Actions was Indicative of Casing a Victim or Location?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reasonable Suspicion that the Person was Suspected of Acting as a Lookout?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
Reasonable Suspicion that the Person's Actions was Indicative of a Drug Transaction?,https://data.lacounty.gov/Public-Safety/LASD-Officer-Contacts-Person-Details/wraf-ix3i,from LASD Person Details file
