CONTACT_ID,PATROL_STATION,DATE_TIME,NUMBER_OF_MINUTES,STREET_NUMBER,DIRECTION,STREET,TYPE,SUITE,CROSS_STREET,LANDMARK,FULL_STREET,CITY,STATE,ZIP_CODE,K_12_SCHOOL,SCHOOL_NAME,CALL_FOR_SERVICE,CIVILIANS_CONTACTED,Person ID,Street #,Street Direction,Street Name,Street Type,Suite,Cross Street,Landmark,Full Address,City,State,Zip Code,Age?,K12 Student?,Limited or No English Fluency?,Perception Made,Homeless?,Gender,Race,Disability,Reason for Contact,Reason for Contact Narrative,Traffic Violation Type,Traffic Violation Offense Code,Reasonable Suspicion that the Officer Witnessed Commission of a Crime?,Reasonable Suspicion that the Person Matched Suspect Description?,Reasonable Suspicion that the Person was a Witness or Victim ID of Suspect at the Scene?,Reasonable Suspicion that the Person may be Carrying Suspicious Object?,Reasonable Suspicion that the Person's Actions was Indicative of Casing a Victim or Location?,Reasonable Suspicion that the Person was Suspected of Acting as a Lookout?,Reasonable Suspicion that the Person's Actions was Indicative of a Drug Transaction?,Reasonable Suspicion that the Person's Actions was Indicative of Engaging in a Violent Crime?,Officer had Other Reasonable Suspicions of a Crime?,Offense Code of the Reasonable Suspicion,Education Code Section,Education Code Subdivision,Person Removed from Vehicle by Order?,Person Removed from Vehicle by Physical Contact?,Field Sobriety Test Conducted?,Curbside Detention?,Person Handcuffed or Flex Cuffed?,Patrol Car Detention?,Canine Removed from Vehicle or Used to Search?,Firearm Pointed at Person?,Firearm Discharged or Used?,Electronic Control Device Used?,Impact Projectile Discharged or Used?,Canine Bit or Held Person?,Baton or Other Impact Weapon Used?,Chemical Spray Used?,Other Physical or Vehicle Contact?,Person Photographed?,Search of Person Conducted?,Asked Consent to Search Person?,Asked Consent to Search Person Given?,Search of Property Conducted?,Asked Consent to Search Property?,Asked Consent to Search Property Given?,Property was Seized?,Vehicle Impounded?,Admission or Written Statement Obtained from Student?,No Action Taken?,Search Consent Given?,Search Basis: Officer Safety/Safety of Others?,Search Basis: Search Warrant?,Search Basis: Condition of Parole/Probation/PRCS/Mandatory Supervision?,Search Basis: Suspected Weapons?,Search Basis: Visible Contraband?,Search Basis: Odor of Contraband?,Search Basis: Canine Detection?,Search Basis: Evidence of Crime?,Search Basis: Incident to Arrest?,Search Basis: Exigent Circumstances/Emergency?,Search Basis: Vehicle inventory?,Search Basis: Suspected of Violating of School Policy?,Search Basis: Reason,Property Seizure Basis: Safekeeping as Allowed by Law/Statute?,Property Seizure Basis: Contraband?,Property Seizure Basis: Evidence?,Property Seizure Basis: Impound of Vehicle?,Property Seizure Basis: Abandoned Property?,Property Seizure Basis: Suspected of Violating of School Policy?,Property Seized: Firearm(s)?,Property Seized: Ammunition?,Property Seized: Weapon(s) Other than a Firearm?,Property Seized: Drug/Narcotics?,Property Seized: Alcohol?,Property Seized: Money?,Property Seized: Drug Paraphernalia?,Property Seized: Suspected Stolen Property?,Property Seized: Cell Phone(s) or Electronic Device(s)?,Property Seized: Vehicle?,Property Seized: Other Contraband or Evidence?,Contraband Evidence Discovered: None?,Contraband Evidence Discovered: Firearm(s)?,Contraband Evidence Discovered: Ammunition?,Contraband Evidence Discovered: Weapon(s) Other than a Firearm?,Contraband Evidence Discovered: Drugs/Narcotics?,Contraband Evidence Discovered: Alcohol?,Contraband Evidence Discovered: Money?,Contraband Evidence Discovered: Drug Paraphernalia?,Contraband Evidence Discovered: Suspected Stolen Property?,Contraband Evidence Discovered: Cell Phone(s) or Electronic Device(s)?,Contraband Evidence Discovered: Other?,Result of Contact: No Action?,Result of Contact: Warning?,Result of Contact: Warning Offense Codes?,Result of Contact: Citation for infraction?,Result of Contact:Citation for Infraction Offense Codes?,Result of Contact:  In-field Cite and Release?,Result of Contact:  In-field Cite and Release Offense Codes?,Result of Contact: Custodial Arrest Pursuant to Outstanding Warrant ?,Result of Contact: Custodial Arrest Without Warrant?,Result of Contact: Custodial Arrest Without Warrant Offense Codes?,Result of Contact: Field Interview Card Completed?,Result of Contact: Noncriminal Transport or Care Taking Transport?,Result of Contact: Contacted Parent/Legal Guardian or other Person Responsible for Minor?,Result of Contact: Psychiatric Hold?,Result of Contact: Contacted U.S. Department of Homeland Security?,Result of Contact: Referral to School Administrator?,Result of Contact: Referral to School Counselor or Other Support Staff?,Lat,Lng,AVUHSD_campus,AVUHSD_campus_name
137350,LAN,2019-01-01 00:50:00,10,42900.0,,SIERRA,HW,116,,,42900 SIERRA 116 HW,LANCASTER,CA,,False,,True,1,152498,42900.0,,SIERRA,HW,116,,,42900 SIERRA 116 HW,LANCASTER,CA,,28,,False,After Contact,False,Male,Hispanic/Latino/Latina,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,POSS 273A SUSPECT,,,False,True,False,False,False,False,False,False,False,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,parole compliance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,False,,False,,False,False,,False,False,False,False,False,False,False,34.6616572,-118.130832,False,
137375,LAN,2019-01-01 03:04:00,60,,,,,,65TH ST W/AV L-4,,65TH ST W/AV L-4,LANCASTER,CA,,False,,True,1,152526,,,,,,65TH ST W/AV L-4,,65TH ST W/AV L-4,LANCASTER,CA,,40,,False,After Contact,False,Male,White,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,IN COLLISION AND ADMIT TO DUI,,,False,False,False,False,False,False,False,False,True,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,incident to arrest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,True,23152(A),False,False,False,False,False,False,False,34.656517,-118.2450528,True,Quartz Hill High
137377,LAN,2019-01-01 05:00:00,20,45500.0,E,25TH,ST,,,,45500 E 25TH ST,LANCASTER,CA,,False,,True,1,152528,45500.0,E,25TH,ST,,,,45500 E 25TH ST,LANCASTER,CA,,45,,False,After Contact,False,Male,Black/African American,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,CALL FOR SERVICE RE DOMESTIC VIOLENCE,,,False,True,True,False,False,False,False,False,False,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,search incident to arrest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,True,243(E)(1),False,False,False,False,False,False,False,34.6977719,-118.0858956,False,
137410,LAN,2019-01-01 11:56:00,5,,,,,,"10TH STREET WEST/AVVENUE I,LANCASTER",,"10TH STREET WEST/AVVENUE I,LANCASTER",LANCASTER,CA,,False,,True,1,152564,,,,,,"10TH STREET WEST/AVVENUE I,LANCASTER",,"10TH STREET WEST/AVVENUE I,LANCASTER",LANCASTER,CA,,30,,False,Before Contact,True,Female,Black/African American,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,MATCHED SUSPECT DESCRIPTION OF PERSON INVOLVED IN A THEFT.,,,False,True,False,False,False,False,False,False,False,488,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,11364(A),False,False,,False,False,False,False,False,False,False,34.7039472,-118.1481004,False,
137434,LAN,2019-01-01 12:28:00,10,43900.0,,15TH STREET WEST,,,,,43900 15TH STREET WEST,LANCASTER,CA,,False,,True,1,152589,43900.0,,15TH STREET WEST,,,,,43900 15TH STREET WEST,LANCASTER,CA,,40,,False,After Contact,False,Female,White,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,CONTACTED DURING DISTURBANCE CALL FOR SERVICE.,,,False,False,True,False,False,False,False,False,False,602,,,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,,True,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,True,False,,False,False,False,False,False,False,False,34.68075200000001,-118.155996,False,
137562,LAN,2019-01-01 22:48:00,15,1500.0,W,J-8,AV,258,,,1500 W J-8 258 AV,LANCASTER,CA,,False,,True,1,152736,1500.0,W,J-8,AV,258,,,1500 W J-8 258 AV,LANCASTER,CA,,23,,False,After Contact,False,Male,Hispanic/Latino/Latina,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,DET RE POSS 245 417A SUSPECT,,,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,wep pat re baggy clothing call std dp had 417a,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,False,,False,,False,False,,False,False,False,False,False,False,False,34.682178,-118.1568989,False,
137582,LAN,2019-01-02 00:50:00,15,44600.0,,VALLEY CENTRAL,WY,,,,44600 VALLEY CENTRAL WY,LANCASTER,CA,,False,,True,1,152757,44600.0,,VALLEY CENTRAL,WY,,,,44600 VALLEY CENTRAL WY,LANCASTER,CA,,30,,False,After Contact,False,Male,White,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,SEE ABOVE,,,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,Yes,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,suspect had large sticks which could be used as weapons and his uncooperative behavior.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,False,,False,,False,False,,False,False,False,False,False,False,False,34.692566,-118.1710079,False,
137594,LAN,2019-01-02 00:05:00,30,,,,,,CEDAR AV/AV H-12,,CEDAR AV/AV H-12,LANCASTER,CA,,False,,True,1,152771,,,,,,CEDAR AV/AV H-12,,CEDAR AV/AV H-12,LANCASTER,CA,,25,,False,After Contact,False,Male,White,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,POS ID OF 273.6 SUSPECT,,,False,False,True,False,False,False,False,False,False,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,search incident to arrest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,True,273.6(A),False,False,False,False,False,False,False,34.7080047,-118.1407008,False,
138137,LAN,2019-01-02 19:11:00,7,,,,,,3RD STREET EAST/ NUGENT SREET,,3RD STREET EAST/ NUGENT SREET,LANCASTER,CA,,False,,True,1,153350,,,,,,3RD STREET EAST/ NUGENT SREET,,3RD STREET EAST/ NUGENT SREET,LANCASTER,CA,,30,,False,After Contact,False,Male,Black/African American,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,VEHICLE MATCHED DESCRIPTION AS BEING SUSPICIOUS IN NEIGHBORHOOD,,,False,True,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,False,,False,,False,False,,False,False,False,False,False,False,False,34.6930713,-118.12597,False,
138178,LAN,2019-01-02 18:30:00,15,,,,,,30TH ST E/AV I,,30TH ST E/AV I,LANCASTER,CA,,False,,False,2,153402,,,,,,30TH ST E/AV I,,30TH ST E/AV I,LANCASTER,CA,,33,,False,After Contact,False,Male,Hispanic/Latino/Latina,No Disabilities,REASONABLE SUSPICION THAT THE PERSON WAS ENGAGED IN CRIMINAL ACTIVITY,VEHICLE WAS REPORTED STOLEN,,,True,False,False,False,False,False,False,False,False,,,,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,,False,,False,True,10851(A),False,False,False,False,False,False,False,34.70441539999999,-118.077073,False,
