Age,Limited or No English Fluency,Perception Made,Homeless,Gender,Race,Disability,Arrested
28,FALSE,After Contact,FALSE,Male,Hispanic/Latino/Latina,No Disabilities,FALSE
40,FALSE,After Contact,FALSE,Male,White,No Disabilities,TRUE
45,FALSE,After Contact,FALSE,Male,Black/African American,No Disabilities,TRUE
30,FALSE,Before Contact,TRUE,Female,Black/African American,No Disabilities,FALSE
40,FALSE,After Contact,FALSE,Female,White,No Disabilities,TRUE
23,FALSE,After Contact,FALSE,Male,Hispanic/Latino/Latina,No Disabilities,FALSE
30,FALSE,After Contact,FALSE,Male,White,No Disabilities,FALSE
25,FALSE,After Contact,FALSE,Male,White,No Disabilities,TRUE
30,FALSE,After Contact,FALSE,Male,Black/African American,No Disabilities,FALSE
33,FALSE,After Contact,FALSE,Male,Hispanic/Latino/Latina,No Disabilities,TRUE
37,FALSE,After Contact,FALSE,Female,White,No Disabilities,TRUE
43,FALSE,After Contact,FALSE,Male,Asian,No Disabilities,TRUE
25,FALSE,After Contact,FALSE,Male,Black/African American,No Disabilities,FALSE
20,FALSE,After Contact,FALSE,Male,Hispanic/Latino/Latina,No Disabilities,FALSE
56,FALSE,After Contact,FALSE,Male,Black/African American,No Disabilities,TRUE
27,FALSE,After Contact,FALSE,Female,White,No Disabilities,TRUE
55,FALSE,After Contact,FALSE,Male,Black/African American,No Disabilities,TRUE
55,FALSE,After Contact,FALSE,Male,Black/African American,No Disabilities,FALSE
30,FALSE,Before Contact,FALSE,Male,Asian,No Disabilities,TRUE
55,FALSE,After Contact,FALSE,Male,White,No Disabilities,TRUE
32,FALSE,After Contact,FALSE,Male,Hispanic/Latino/Latina,No Disabilities,TRUE
28,FALSE,After Contact,TRUE,Male,Black/African American,No Disabilities,FALSE
55,FALSE,Before Contact,FALSE,Male,White,No Disabilities,FALSE
50,FALSE,Before Contact,FALSE,Male,White,No Disabilities,FALSE
30,FALSE,After Contact,FALSE,Male,White,No Disabilities,FALSE
40,FALSE,After Contact,TRUE,Male,Black/African American,No Disabilities,TRUE
40,FALSE,After Contact,FALSE,Female,Black/African American,No Disabilities,TRUE
30,FALSE,Before Contact,FALSE,Male,Black/African American,No Disabilities,TRUE
25,FALSE,After Contact,FALSE,Male,Black/African American,No Disabilities,TRUE
